name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Infinition*Quadrant,0.707,0.568,6,-13.972,0,0.0486,0.35,0.883,0.101,0.538,128.182,audio_features,7g8LoOojyB3ahYXLQVCPdC,spotify:track:7g8LoOojyB3ahYXLQVCPdC,https://api.spotify.com/v1/tracks/7g8LoOojyB3ahYXLQVCPdC,https://api.spotify.com/v1/audio-analysis/7g8LoOojyB3ahYXLQVCPdC,633143,4
Manik Man*Kenny Larkin,0.804,0.834,2,-7.389,1,0.0535,0.00719,0.891,0.0707,0.728,124.83,audio_features,2scFi2uGppFWI94VPQfUym,spotify:track:2scFi2uGppFWI94VPQfUym,https://api.spotify.com/v1/tracks/2scFi2uGppFWI94VPQfUym,https://api.spotify.com/v1/audio-analysis/2scFi2uGppFWI94VPQfUym,361883,4
Deviant Behaviour - Instrumental Mix*Mike Dearborn,0.626,0.541,1,-19.765,1,0.0518,0.00393,0.957,0.221,0.264,133.106,audio_features,4AT1pm3CnmAvmTdSFkh4H7,spotify:track:4AT1pm3CnmAvmTdSFkh4H7,https://api.spotify.com/v1/tracks/4AT1pm3CnmAvmTdSFkh4H7,https://api.spotify.com/v1/audio-analysis/4AT1pm3CnmAvmTdSFkh4H7,338813,4
Parasight*Balil,0.564,0.959,11,-10.021,0,0.0544,0.00258,0.874,0.111,0.793,129.239,audio_features,7Eoc1MmUYSsof47lyJMzUZ,spotify:track:7Eoc1MmUYSsof47lyJMzUZ,https://api.spotify.com/v1/tracks/7Eoc1MmUYSsof47lyJMzUZ,https://api.spotify.com/v1/audio-analysis/7Eoc1MmUYSsof47lyJMzUZ,453973,4
Cleo's Legs*Proteus Generation,0.527,0.475,11,-19.626,0,0.0415,0.677,0.875,0.0858,0.376,134.807,audio_features,7m9MuCaJqfESjXm4nbGhLn,spotify:track:7m9MuCaJqfESjXm4nbGhLn,https://api.spotify.com/v1/tracks/7m9MuCaJqfESjXm4nbGhLn,https://api.spotify.com/v1/audio-analysis/7m9MuCaJqfESjXm4nbGhLn,306377,4
Artifax*Stasis,0.638,0.909,6,-6.95,1,0.0408,0.00593,0.924,0.103,0.19,126.968,audio_features,3jv6hle9TH7XgpXEj7Kq96,spotify:track:3jv6hle9TH7XgpXEj7Kq96,https://api.spotify.com/v1/tracks/3jv6hle9TH7XgpXEj7Kq96,https://api.spotify.com/v1/audio-analysis/3jv6hle9TH7XgpXEj7Kq96,477387,4
Free Flight*B12,0.799,0.51,4,-11.651,0,0.0896,0.0304,0.893,0.0654,0.163,114.035,audio_features,35aE5pjd9UZStv4fmsYReA,spotify:track:35aE5pjd9UZStv4fmsYReA,https://api.spotify.com/v1/tracks/35aE5pjd9UZStv4fmsYReA,https://api.spotify.com/v1/audio-analysis/35aE5pjd9UZStv4fmsYReA,233684,4
Patience and Distance*Future Beat Alliance,0.189,0.555,9,-11.515,0,0.0408,0.413,0.982,0.396,0.0478,121.328,audio_features,0LTG4ud1j7zbFmefHaM5M3,spotify:track:0LTG4ud1j7zbFmefHaM5M3,https://api.spotify.com/v1/tracks/0LTG4ud1j7zbFmefHaM5M3,https://api.spotify.com/v1/audio-analysis/0LTG4ud1j7zbFmefHaM5M3,326027,4
Polygon Window*The Dice Man,0.644,0.523,11,-16.546,0,0.0365,0.000971,0.855,0.0565,0.933,134.175,audio_features,74yFgfBjzPASPr3wv79aWe,spotify:track:74yFgfBjzPASPr3wv79aWe,https://api.spotify.com/v1/tracks/74yFgfBjzPASPr3wv79aWe,https://api.spotify.com/v1/audio-analysis/74yFgfBjzPASPr3wv79aWe,312200,4
Lab Rat 3*Lab Rat XL,0.621,0.695,6,-7.537,1,0.0331,7.44e-06,0.949,0.0972,0.762,134.376,audio_features,7b1uaIR2va05jHG5fnVbMu,spotify:track:7b1uaIR2va05jHG5fnVbMu,https://api.spotify.com/v1/tracks/7b1uaIR2va05jHG5fnVbMu,https://api.spotify.com/v1/audio-analysis/7b1uaIR2va05jHG5fnVbMu,470573,4
The Vineyard - Reprise*Florence,0.734,0.787,1,-10.263,1,0.0609,0.888,0.949,0.116,0.259,126.016,audio_features,1glyjskstnsqNLE6n9cktk,spotify:track:1glyjskstnsqNLE6n9cktk,https://api.spotify.com/v1/tracks/1glyjskstnsqNLE6n9cktk,https://api.spotify.com/v1/audio-analysis/1glyjskstnsqNLE6n9cktk,241014,4
Disconnect Myself*//Tense//,0.757,0.972,10,-9.757,0,0.0431,0.000255,0.883,0.0825,0.111,123.026,audio_features,5nRXPjrGu8FnREoIUScfIo,spotify:track:5nRXPjrGu8FnREoIUScfIo,https://api.spotify.com/v1/tracks/5nRXPjrGu8FnREoIUScfIo,https://api.spotify.com/v1/audio-analysis/5nRXPjrGu8FnREoIUScfIo,472344,4
Sinister*Rhythim Is Rhythim,0.792,0.924,11,-10.171,0,0.0687,0.000318,0.935,0.0503,0.78,132.594,audio_features,4G9WGAZzGHEVasdllxqjFv,spotify:track:4G9WGAZzGHEVasdllxqjFv,https://api.spotify.com/v1/tracks/4G9WGAZzGHEVasdllxqjFv,https://api.spotify.com/v1/audio-analysis/4G9WGAZzGHEVasdllxqjFv,397800,4
Kilometer (Arpanet Remix)*Sébastien Tellier,0.698,0.902,2,-4.012,1,0.0315,0.0202,0.768,0.507,0.0364,104.979,audio_features,1kXfdemMdkST2o9FHnkKcS,spotify:track:1kXfdemMdkST2o9FHnkKcS,https://api.spotify.com/v1/tracks/1kXfdemMdkST2o9FHnkKcS,https://api.spotify.com/v1/audio-analysis/1kXfdemMdkST2o9FHnkKcS,291480,4
Retina Display Scan - Re- Entry Mix*Optic Nerve,0.636,0.736,5,-10.985,0,0.0431,0.0557,0.849,0.0959,0.618,127.027,audio_features,6ifrjp6Ev6vDaTr3F19CF9,spotify:track:6ifrjp6Ev6vDaTr3F19CF9,https://api.spotify.com/v1/tracks/6ifrjp6Ev6vDaTr3F19CF9,https://api.spotify.com/v1/audio-analysis/6ifrjp6Ev6vDaTr3F19CF9,289150,4
Ascension*Vagon Brei,0.589,0.4,4,-17.707,0,0.0401,0.0013,0.894,0.114,0.152,120.01,audio_features,5HXul4pCJZkzADKcVMADiv,spotify:track:5HXul4pCJZkzADKcVMADiv,https://api.spotify.com/v1/tracks/5HXul4pCJZkzADKcVMADiv,https://api.spotify.com/v1/audio-analysis/5HXul4pCJZkzADKcVMADiv,228790,4
Shipwrecked*Thomas P. Heckmann,0.792,0.987,10,-9.219,0,0.101,0.000328,0.968,0.0834,0.0667,134.009,audio_features,16doRRJij0yZWLH2CO1m3P,spotify:track:16doRRJij0yZWLH2CO1m3P,https://api.spotify.com/v1/tracks/16doRRJij0yZWLH2CO1m3P,https://api.spotify.com/v1/audio-analysis/16doRRJij0yZWLH2CO1m3P,360688,4
Radioactive - Original*DJ Godfather,0.775,0.67,4,-17.486,0,0.0609,2.72e-05,0.946,0.0903,0.753,140.079,audio_features,5UPHkrLxHDQ2V4w79nkCyS,spotify:track:5UPHkrLxHDQ2V4w79nkCyS,https://api.spotify.com/v1/tracks/5UPHkrLxHDQ2V4w79nkCyS,https://api.spotify.com/v1/audio-analysis/5UPHkrLxHDQ2V4w79nkCyS,263013,4
Resynthesize*Cosmic Force,0.383,0.744,7,-8.452,1,0.0707,0.00218,0.948,0.3,0.597,132.033,audio_features,6WxtYZGVWGiM1J8lSRHETW,spotify:track:6WxtYZGVWGiM1J8lSRHETW,https://api.spotify.com/v1/tracks/6WxtYZGVWGiM1J8lSRHETW,https://api.spotify.com/v1/audio-analysis/6WxtYZGVWGiM1J8lSRHETW,229000,4
Spadet - Extended Mix*Jark Prongo,0.668,0.822,6,-5.353,1,0.0613,0.000658,0.864,0.101,0.848,132.019,audio_features,5MUAsx8MbcgUsNRQziuOUF,spotify:track:5MUAsx8MbcgUsNRQziuOUF,https://api.spotify.com/v1/tracks/5MUAsx8MbcgUsNRQziuOUF,https://api.spotify.com/v1/audio-analysis/5MUAsx8MbcgUsNRQziuOUF,501211,4
The Glades*Anthiliawaters,0.784,0.786,0,-8.236,0,0.0496,0.0267,0.835,0.0761,0.513,129.993,audio_features,41JPw220CW1KVdcoBxXE7M,spotify:track:41JPw220CW1KVdcoBxXE7M,https://api.spotify.com/v1/tracks/41JPw220CW1KVdcoBxXE7M,https://api.spotify.com/v1/audio-analysis/41JPw220CW1KVdcoBxXE7M,384573,4
Bareknuckle - Nukubus Edit*Mark du Mosch,0.779,0.782,5,-9.474,0,0.0514,0.000519,0.423,0.0702,0.738,123.978,audio_features,6R8P1YCml3iP6R4UxZFJrD,spotify:track:6R8P1YCml3iP6R4UxZFJrD,https://api.spotify.com/v1/tracks/6R8P1YCml3iP6R4UxZFJrD,https://api.spotify.com/v1/audio-analysis/6R8P1YCml3iP6R4UxZFJrD,387813,4
Bass Commander*Electronome,0.338,0.453,4,-16.648,0,0.094,0.000536,0.699,0.168,0.13,179.886,audio_features,0oWBZvGUQytvC52fMWkHDX,spotify:track:0oWBZvGUQytvC52fMWkHDX,https://api.spotify.com/v1/tracks/0oWBZvGUQytvC52fMWkHDX,https://api.spotify.com/v1/audio-analysis/0oWBZvGUQytvC52fMWkHDX,342871,5
Quasar*Der Zyklus,0.688,0.667,0,-13.466,1,0.228,0.477,0.777,0.12,0.384,75.078,audio_features,4CZS2qkOyAuMAm4ag83URN,spotify:track:4CZS2qkOyAuMAm4ag83URN,https://api.spotify.com/v1/tracks/4CZS2qkOyAuMAm4ag83URN,https://api.spotify.com/v1/audio-analysis/4CZS2qkOyAuMAm4ag83URN,355307,4
Meltdown*L.A.M.,0.785,0.822,4,-11.355,0,0.113,0.00177,0.913,0.0721,0.0386,128.761,audio_features,71bbT6Y62uTHXTaoFzKeCo,spotify:track:71bbT6Y62uTHXTaoFzKeCo,https://api.spotify.com/v1/tracks/71bbT6Y62uTHXTaoFzKeCo,https://api.spotify.com/v1/audio-analysis/71bbT6Y62uTHXTaoFzKeCo,73320,4
Gleaning Creation*E.R.P.,0.746,0.614,1,-11.941,0,0.0412,0.824,0.893,0.102,0.0531,127.977,audio_features,773PzfWyduMT62MjuWXtGx,spotify:track:773PzfWyduMT62MjuWXtGx,https://api.spotify.com/v1/tracks/773PzfWyduMT62MjuWXtGx,https://api.spotify.com/v1/audio-analysis/773PzfWyduMT62MjuWXtGx,442154,4
Below Zero*MAS 2008 & heimelektronik,0.782,0.976,4,-6.502,0,0.0824,0.0905,0.885,0.0651,0.689,136.003,audio_features,6I9wyoGX6D47i4tQ7tIZtg,spotify:track:6I9wyoGX6D47i4tQ7tIZtg,https://api.spotify.com/v1/tracks/6I9wyoGX6D47i4tQ7tIZtg,https://api.spotify.com/v1/audio-analysis/6I9wyoGX6D47i4tQ7tIZtg,302760,4
Technotropic*F.U.S.E.,0.786,0.92,1,-10.176,1,0.109,0.152,0.916,0.0891,0.195,124.958,audio_features,4rf8hA3XRJsMdsvBpVFcJ9,spotify:track:4rf8hA3XRJsMdsvBpVFcJ9,https://api.spotify.com/v1/tracks/4rf8hA3XRJsMdsvBpVFcJ9,https://api.spotify.com/v1/audio-analysis/4rf8hA3XRJsMdsvBpVFcJ9,317939,4
The Chase (express Mix)*Model 500,0.8,0.779,2,-10.351,0,0.0604,0.00565,0.889,0.0842,0.49,127.036,audio_features,5NftR3bXwSg6t8XZ5tARKO,spotify:track:5NftR3bXwSg6t8XZ5tARKO,https://api.spotify.com/v1/tracks/5NftR3bXwSg6t8XZ5tARKO,https://api.spotify.com/v1/audio-analysis/5NftR3bXwSg6t8XZ5tARKO,214733,4
The System - Nukubus Edit*Mark du Mosch,0.726,0.747,9,-8.773,1,0.0692,0.00215,0.876,0.115,0.213,121.288,audio_features,2PbMhbTmGVsTUOl6Lhd2QC,spotify:track:2PbMhbTmGVsTUOl6Lhd2QC,https://api.spotify.com/v1/tracks/2PbMhbTmGVsTUOl6Lhd2QC,https://api.spotify.com/v1/audio-analysis/2PbMhbTmGVsTUOl6Lhd2QC,375000,4
Silenced*Duplex,0.766,0.681,4,-10.136,0,0.0485,8.61e-05,0.875,0.0877,0.424,128.017,audio_features,5idJROagIquZjObzUDVa03,spotify:track:5idJROagIquZjObzUDVa03,https://api.spotify.com/v1/tracks/5idJROagIquZjObzUDVa03,https://api.spotify.com/v1/audio-analysis/5idJROagIquZjObzUDVa03,267813,4
Done - TeslaSonic Remix*Der Noir,0.776,0.852,2,-7.489,1,0.0448,0.0338,0.88,0.122,0.445,118.452,audio_features,3L8W4VaWyjjIkcqBGv9YGU,spotify:track:3L8W4VaWyjjIkcqBGv9YGU,https://api.spotify.com/v1/tracks/3L8W4VaWyjjIkcqBGv9YGU,https://api.spotify.com/v1/audio-analysis/3L8W4VaWyjjIkcqBGv9YGU,310876,4
Friend Ship - Original Mix*Third Electric,0.785,0.995,11,-6.779,0,0.0667,2.76e-05,0.322,0.0527,0.563,135.377,audio_features,07Xn55cOiMJ2eFK51aWPj0,spotify:track:07Xn55cOiMJ2eFK51aWPj0,https://api.spotify.com/v1/tracks/07Xn55cOiMJ2eFK51aWPj0,https://api.spotify.com/v1/audio-analysis/07Xn55cOiMJ2eFK51aWPj0,396089,4
The Mad Underdog*Marcellus Pittman,0.772,0.703,8,-11.732,1,0.0637,0.012,0.944,0.0898,0.48,121.996,audio_features,3hUHaqSI7eocscjhr2K0Yr,spotify:track:3hUHaqSI7eocscjhr2K0Yr,https://api.spotify.com/v1/tracks/3hUHaqSI7eocscjhr2K0Yr,https://api.spotify.com/v1/audio-analysis/3hUHaqSI7eocscjhr2K0Yr,528339,4
Glory Days*Nicole,0.768,0.986,4,-12.178,0,0.0822,0.00295,0.95,0.0566,0.273,127.425,audio_features,23pCNFQTzkThJGjNaUrvt0,spotify:track:23pCNFQTzkThJGjNaUrvt0,https://api.spotify.com/v1/tracks/23pCNFQTzkThJGjNaUrvt0,https://api.spotify.com/v1/audio-analysis/23pCNFQTzkThJGjNaUrvt0,363587,4
Without A Sound - Long ''White Label'' Version*Dark Comedy,0.732,0.855,1,-9.306,0,0.0566,0.0866,0.913,0.107,0.371,128.538,audio_features,5loZylzkUQMPBL13mySJ6f,spotify:track:5loZylzkUQMPBL13mySJ6f,https://api.spotify.com/v1/tracks/5loZylzkUQMPBL13mySJ6f,https://api.spotify.com/v1/audio-analysis/5loZylzkUQMPBL13mySJ6f,599114,4
Stratus Static*Air Liquide,0.722,0.489,10,-12.616,0,0.0387,0.000455,0.82,0.272,0.596,101.896,audio_features,1choPanjTitJ5S16A1RBuG,spotify:track:1choPanjTitJ5S16A1RBuG,https://api.spotify.com/v1/tracks/1choPanjTitJ5S16A1RBuG,https://api.spotify.com/v1/audio-analysis/1choPanjTitJ5S16A1RBuG,494893,4
Rain Season*Legowelt,0.472,0.57,9,-16.317,0,0.0332,0.353,0.754,0.601,0.267,92.045,audio_features,2K24BFQYsdm4LR4uFiDNiW,spotify:track:2K24BFQYsdm4LR4uFiDNiW,https://api.spotify.com/v1/tracks/2K24BFQYsdm4LR4uFiDNiW,https://api.spotify.com/v1/audio-analysis/2K24BFQYsdm4LR4uFiDNiW,417179,4
New Wave 2*Passarani 2099,0.652,0.644,6,-7.561,1,0.0383,0.00438,0.895,0.0945,0.35,113.91,audio_features,5eU7jPhJSiuqTWyc1nyVFK,spotify:track:5eU7jPhJSiuqTWyc1nyVFK,https://api.spotify.com/v1/tracks/5eU7jPhJSiuqTWyc1nyVFK,https://api.spotify.com/v1/audio-analysis/5eU7jPhJSiuqTWyc1nyVFK,241427,4
Quiet Earth*The Exaltics,0.678,0.481,4,-14.769,0,0.0443,0.00922,0.881,0.0883,0.23,127.982,audio_features,3lbTB5Z4jmL8z6pkX10QtA,spotify:track:3lbTB5Z4jmL8z6pkX10QtA,https://api.spotify.com/v1/tracks/3lbTB5Z4jmL8z6pkX10QtA,https://api.spotify.com/v1/audio-analysis/3lbTB5Z4jmL8z6pkX10QtA,274000,4
True Feelings*Flux,0.581,0.833,0,-8.174,1,0.0473,0.432,0.887,0.159,0.6,129.003,audio_features,4d1FVZdfoU5phsAklLW6F3,spotify:track:4d1FVZdfoU5phsAklLW6F3,https://api.spotify.com/v1/tracks/4d1FVZdfoU5phsAklLW6F3,https://api.spotify.com/v1/audio-analysis/4d1FVZdfoU5phsAklLW6F3,383060,4
Walk On Air - Sun & Moon Mix*Holy Ghost Inc.,0.793,0.524,6,-13.1,0,0.0621,0.0484,0.732,0.162,0.296,106.772,audio_features,7eIj1mfeaag2nx7YKO4gcJ,spotify:track:7eIj1mfeaag2nx7YKO4gcJ,https://api.spotify.com/v1/tracks/7eIj1mfeaag2nx7YKO4gcJ,https://api.spotify.com/v1/audio-analysis/7eIj1mfeaag2nx7YKO4gcJ,537902,4
Andromeda*Psyche,0.795,0.769,9,-8.371,0,0.0568,0.349,0.856,0.0473,0.797,126.977,audio_features,50xyTR9pXsyqwqqCSERoZC,spotify:track:50xyTR9pXsyqwqqCSERoZC,https://api.spotify.com/v1/tracks/50xyTR9pXsyqwqqCSERoZC,https://api.spotify.com/v1/audio-analysis/50xyTR9pXsyqwqqCSERoZC,303999,4
Another Day - Mick Wills Remix*Der Noir,0.578,0.842,4,-7.916,0,0.0623,2.36e-05,0.833,0.093,0.506,120.158,audio_features,4Ekhg1lKBEoJYIJ1mCWFIu,spotify:track:4Ekhg1lKBEoJYIJ1mCWFIu,https://api.spotify.com/v1/tracks/4Ekhg1lKBEoJYIJ1mCWFIu,https://api.spotify.com/v1/audio-analysis/4Ekhg1lKBEoJYIJ1mCWFIu,430080,4
You Gotta Believe - Atomix*Fierce Ruling Diva,0.593,0.892,5,-6.665,0,0.0523,0.000378,0.875,0.0689,0.761,127.081,audio_features,6GakxwhOKdKWv7h0PTOuP3,spotify:track:6GakxwhOKdKWv7h0PTOuP3,https://api.spotify.com/v1/tracks/6GakxwhOKdKWv7h0PTOuP3,https://api.spotify.com/v1/audio-analysis/6GakxwhOKdKWv7h0PTOuP3,325356,4
Love Will Find a Way (Dark Dub)*Marvin Belton,0.766,0.54,7,-14.782,1,0.0724,0.0409,0.908,0.0911,0.228,124.0,audio_features,2I8vt2OIHP3I3uvpePmeeg,spotify:track:2I8vt2OIHP3I3uvpePmeeg,https://api.spotify.com/v1/tracks/2I8vt2OIHP3I3uvpePmeeg,https://api.spotify.com/v1/audio-analysis/2I8vt2OIHP3I3uvpePmeeg,558121,4
Crying Is Devine*Woody McBride,0.593,0.894,8,-11.552,1,0.0577,0.000999,0.916,0.0675,0.676,134.708,audio_features,02EzCxOJH6Jtu1PP8fDplL,spotify:track:02EzCxOJH6Jtu1PP8fDplL,https://api.spotify.com/v1/tracks/02EzCxOJH6Jtu1PP8fDplL,https://api.spotify.com/v1/audio-analysis/02EzCxOJH6Jtu1PP8fDplL,415507,4
Rings of Saturn*B12,0.742,0.965,10,-3.31,0,0.0879,0.0117,0.217,0.348,0.46,124.89,audio_features,4Z514nWQGfqGzcSLgGpXmf,spotify:track:4Z514nWQGfqGzcSLgGpXmf,https://api.spotify.com/v1/tracks/4Z514nWQGfqGzcSLgGpXmf,https://api.spotify.com/v1/audio-analysis/4Z514nWQGfqGzcSLgGpXmf,320827,4
Deep Space 9*Galaxy 2 Galaxy,0.738,0.627,1,-11.346,1,0.0478,3.12e-05,0.591,0.0865,0.358,134.021,audio_features,4BYkvIrKDOn3qbJT7iryBe,spotify:track:4BYkvIrKDOn3qbJT7iryBe,https://api.spotify.com/v1/tracks/4BYkvIrKDOn3qbJT7iryBe,https://api.spotify.com/v1/audio-analysis/4BYkvIrKDOn3qbJT7iryBe,343467,4
Clear*Cybotron,0.802,0.642,11,-12.996,0,0.0627,0.000235,0.832,0.46,0.323,125.276,audio_features,6ktxc1Nf5UV7hBpkGlmhYJ,spotify:track:6ktxc1Nf5UV7hBpkGlmhYJ,https://api.spotify.com/v1/tracks/6ktxc1Nf5UV7hBpkGlmhYJ,https://api.spotify.com/v1/audio-analysis/6ktxc1Nf5UV7hBpkGlmhYJ,294533,4
Time Space Transmat*Model 500,0.799,0.65,7,-16.352,1,0.0906,0.0274,0.549,0.392,0.68,126.911,audio_features,1cmTZJ0Fmc7OiZnpAv1ha3,spotify:track:1cmTZJ0Fmc7OiZnpAv1ha3,https://api.spotify.com/v1/tracks/1cmTZJ0Fmc7OiZnpAv1ha3,https://api.spotify.com/v1/audio-analysis/1cmTZJ0Fmc7OiZnpAv1ha3,369829,4
No UFO's (D-Mix)*Model 500,0.829,0.877,7,-10.076,1,0.152,0.0994,0.038,0.321,0.599,124.4,audio_features,2bpYHwBthbqaW6Vd7RD3M3,spotify:track:2bpYHwBthbqaW6Vd7RD3M3,https://api.spotify.com/v1/tracks/2bpYHwBthbqaW6Vd7RD3M3,https://api.spotify.com/v1/audio-analysis/2bpYHwBthbqaW6Vd7RD3M3,497043,4
Technicolor - Long Mix*Channel One,0.756,0.933,8,-13.185,1,0.0616,0.0408,0.337,0.0471,0.66,129.301,audio_features,2t1UcoHISZCpx37kA2IVg8,spotify:track:2t1UcoHISZCpx37kA2IVg8,https://api.spotify.com/v1/tracks/2t1UcoHISZCpx37kA2IVg8,https://api.spotify.com/v1/audio-analysis/2t1UcoHISZCpx37kA2IVg8,408836,4
Strings of Life - Original Mix*Rhythim Is Rhythim,0.511,0.673,11,-9.286,1,0.146,0.255,0.771,0.125,0.454,121.792,audio_features,4y05fec0H4RQ2yfyMn4Ux3,spotify:track:4y05fec0H4RQ2yfyMn4Ux3,https://api.spotify.com/v1/tracks/4y05fec0H4RQ2yfyMn4Ux3,https://api.spotify.com/v1/audio-analysis/4y05fec0H4RQ2yfyMn4Ux3,454500,4
Feel Surreal Ends The Feel Surreal*Derrick May,0.645,0.373,8,-16.324,1,0.0525,0.00273,0.00133,0.101,0.658,126.377,audio_features,7krNPfnV1XHE9ksk93WZSK,spotify:track:7krNPfnV1XHE9ksk93WZSK,https://api.spotify.com/v1/tracks/7krNPfnV1XHE9ksk93WZSK,https://api.spotify.com/v1/audio-analysis/7krNPfnV1XHE9ksk93WZSK,59720,4
Techno Music - M500 Version*Model 500,0.728,0.983,11,-7.694,0,0.0738,0.00162,0.836,0.0674,0.792,129.683,audio_features,3B88nXIXMGz2E8jU82kzJk,spotify:track:3B88nXIXMGz2E8jU82kzJk,https://api.spotify.com/v1/tracks/3B88nXIXMGz2E8jU82kzJk,https://api.spotify.com/v1/audio-analysis/3B88nXIXMGz2E8jU82kzJk,336613,4
Rhythm Track 5*Reese,0.759,0.972,5,-7.149,0,0.162,0.0034,0.969,0.0801,0.666,124.712,audio_features,2NTeAxuJgsaofbxEbZcvLd,spotify:track:2NTeAxuJgsaofbxEbZcvLd,https://api.spotify.com/v1/tracks/2NTeAxuJgsaofbxEbZcvLd,https://api.spotify.com/v1/audio-analysis/2NTeAxuJgsaofbxEbZcvLd,228621,4
Voodoo Ray*A Guy Called Gerald,0.683,0.789,2,-9.034,1,0.0602,0.03,0.0105,0.0724,0.657,119.504,audio_features,5gjRugpcrpgRffrheTbQYT,spotify:track:5gjRugpcrpgRffrheTbQYT,https://api.spotify.com/v1/tracks/5gjRugpcrpgRffrheTbQYT,https://api.spotify.com/v1/audio-analysis/5gjRugpcrpgRffrheTbQYT,267107,4
String Free*Phortune,0.628,0.796,9,-10.869,0,0.032,0.000119,0.946,0.0858,0.452,125.004,audio_features,0it8q7IFs7B4hZbYARK9PG,spotify:track:0it8q7IFs7B4hZbYARK9PG,https://api.spotify.com/v1/tracks/0it8q7IFs7B4hZbYARK9PG,https://api.spotify.com/v1/audio-analysis/0it8q7IFs7B4hZbYARK9PG,371853,4
R-Theme*Derrick May,0.673,0.964,4,-6.859,0,0.0591,0.00698,0.655,0.158,0.944,130.939,audio_features,5Gq7tfWCjD5vH9zKp8r8AN,spotify:track:5Gq7tfWCjD5vH9zKp8r8AN,https://api.spotify.com/v1/tracks/5Gq7tfWCjD5vH9zKp8r8AN,https://api.spotify.com/v1/audio-analysis/5Gq7tfWCjD5vH9zKp8r8AN,363253,4
Beyond The Dance - The Cult Mix*Derrick May,0.728,0.943,6,-10.421,1,0.068,0.0363,0.884,0.289,0.816,127.362,audio_features,06mcT8MNkHWFYxJIcktkme,spotify:track:06mcT8MNkHWFYxJIcktkme,https://api.spotify.com/v1/tracks/06mcT8MNkHWFYxJIcktkme,https://api.spotify.com/v1/audio-analysis/06mcT8MNkHWFYxJIcktkme,412613,4
Neurotic Behaviour*Psyche,0.788,0.834,10,-7.945,0,0.0524,0.00277,0.952,0.0438,0.482,128.025,audio_features,4tbd8ReU5jfR5RGIxkayGP,spotify:track:4tbd8ReU5jfR5RGIxkayGP,https://api.spotify.com/v1/tracks/4tbd8ReU5jfR5RGIxkayGP,https://api.spotify.com/v1/audio-analysis/4tbd8ReU5jfR5RGIxkayGP,187547,4
Andromeda*Psyche/BFC,0.795,0.769,9,-8.371,0,0.0568,0.349,0.856,0.0473,0.797,126.977,audio_features,0Hfn1FIcbXbQ4fkwbuYazM,spotify:track:0Hfn1FIcbXbQ4fkwbuYazM,https://api.spotify.com/v1/tracks/0Hfn1FIcbXbQ4fkwbuYazM,https://api.spotify.com/v1/audio-analysis/0Hfn1FIcbXbQ4fkwbuYazM,303999,4
Strange Creatures*Gherkin Jerks,0.665,0.614,1,-14.04,1,0.0414,1.41e-05,0.931,0.0807,0.477,125.106,audio_features,4tTrqBbLYBg9BISMWAae5p,spotify:track:4tTrqBbLYBg9BISMWAae5p,https://api.spotify.com/v1/tracks/4tTrqBbLYBg9BISMWAae5p,https://api.spotify.com/v1/audio-analysis/4tTrqBbLYBg9BISMWAae5p,299333,4
"Pacific State - 12"" Version*808 State",0.68,0.977,7,-7.381,1,0.0843,0.0456,0.773,0.245,0.0622,124.403,audio_features,5viwTjaaO8fmVWzTLjuXaM,spotify:track:5viwTjaaO8fmVWzTLjuXaM,https://api.spotify.com/v1/tracks/5viwTjaaO8fmVWzTLjuXaM,https://api.spotify.com/v1/audio-analysis/5viwTjaaO8fmVWzTLjuXaM,389200,4
A Relic Long Ago*Derrick May,0.591,0.879,3,-8.786,1,0.0627,0.000419,0.894,0.163,0.411,134.554,audio_features,399wLImMGY1JYxeIbHzGWn,spotify:track:399wLImMGY1JYxeIbHzGWn,https://api.spotify.com/v1/tracks/399wLImMGY1JYxeIbHzGWn,https://api.spotify.com/v1/audio-analysis/399wLImMGY1JYxeIbHzGWn,61520,4
Hand Over Hand*Rhythim Is Rhythim,0.646,0.896,8,-8.799,0,0.0336,0.0284,0.876,0.124,0.951,127.415,audio_features,0T7qzA2uEabyRBFbmeL4bC,spotify:track:0T7qzA2uEabyRBFbmeL4bC,https://api.spotify.com/v1/tracks/0T7qzA2uEabyRBFbmeL4bC,https://api.spotify.com/v1/audio-analysis/0T7qzA2uEabyRBFbmeL4bC,501135,4
The Beginning*Derrick May,0.635,0.997,4,-6.027,1,0.049,0.394,0.736,0.283,0.977,129.665,audio_features,0O94XnzL0uc1IQClKRa92w,spotify:track:0O94XnzL0uc1IQClKRa92w,https://api.spotify.com/v1/tracks/0O94XnzL0uc1IQClKRa92w,https://api.spotify.com/v1/audio-analysis/0O94XnzL0uc1IQClKRa92w,328787,4
Drama*Derrick May,0.786,0.914,1,-7.915,1,0.131,0.0103,0.859,0.163,0.702,131.044,audio_features,0rYoujobuettyXXhWEv5d6,spotify:track:0rYoujobuettyXXhWEv5d6,https://api.spotify.com/v1/tracks/0rYoujobuettyXXhWEv5d6,https://api.spotify.com/v1/audio-analysis/0rYoujobuettyXXhWEv5d6,265813,4
